ACCEPTABLE,ALWAYS,ALWAYS,ALWAYS,UNPREFERRED,ALWAYS,ACCEPTABLE,UNPREFERRED,NEVER,UNPREFERRED,ACCEPTABLE,UNPREFERRED,NEVER,NEVER,NEVER,UNPREFERRED
ALWAYS,ACCEPTABLE,ACCEPTABLE,UNPREFERRED,ALWAYS,UNPREFERRED,ALWAYS,ALWAYS,NEVER,ACCEPTABLE,ACCEPTABLE,UNPREFERRED,UNPREFERRED,ACCEPTABLE,UNPREFERRED,UNPREFERRED
ALWAYS,ACCEPTABLE,UNPREFERRED,ALWAYS,ALWAYS,UNPREFERRED,UNPREFERRED,NEVER,ACCEPTABLE,NEVER,ACCEPTABLE,ACCEPTABLE,UNPREFERRED,ACCEPTABLE,ALWAYS,NEVER
ALWAYS,UNPREFERRED,ALWAYS,ACCEPTABLE,ACCEPTABLE,ACCEPTABLE,ALWAYS,UNPREFERRED,ALWAYS,ALWAYS,UNPREFERRED,UNPREFERRED,ACCEPTABLE,ALWAYS,NEVER,ACCEPTABLE
UNPREFERRED,ALWAYS,ALWAYS,ACCEPTABLE,UNPREFERRED,UNPREFERRED,NEVER,NEVER,UNPREFERRED,ALWAYS,ACCEPTABLE,ALWAYS,ALWAYS,NEVER,NEVER,ACCEPTABLE
ALWAYS,UNPREFERRED,UNPREFERRED,ACCEPTABLE,UNPREFERRED,UNPREFERRED,ACCEPTABLE,NEVER,UNPREFERRED,UNPREFERRED,ACCEPTABLE,ALWAYS,UNPREFERRED,UNPREFERRED,ALWAYS,ACCEPTABLE
ACCEPTABLE,ALWAYS,UNPREFERRED,ALWAYS,NEVER,ACCEPTABLE,ALWAYS,NEVER,ALWAYS,ACCEPTABLE,ALWAYS,NEVER,NEVER,ACCEPTABLE,ACCEPTABLE,ACCEPTABLE
UNPREFERRED,ALWAYS,NEVER,UNPREFERRED,NEVER,NEVER,NEVER,UNPREFERRED,ALWAYS,NEVER,UNPREFERRED,NEVER,ACCEPTABLE,ALWAYS,NEVER,UNPREFERRED
NEVER,NEVER,ACCEPTABLE,ALWAYS,UNPREFERRED,UNPREFERRED,ALWAYS,ALWAYS,UNPREFERRED,ACCEPTABLE,ACCEPTABLE,NEVER,UNPREFERRED,ALWAYS,UNPREFERRED,UNPREFERRED
UNPREFERRED,ACCEPTABLE,NEVER,ALWAYS,ALWAYS,UNPREFERRED,ACCEPTABLE,NEVER,ACCEPTABLE,ALWAYS,ALWAYS,NEVER,ALWAYS,ALWAYS,ACCEPTABLE,NEVER
ACCEPTABLE,ACCEPTABLE,ACCEPTABLE,UNPREFERRED,ACCEPTABLE,ACCEPTABLE,ALWAYS,UNPREFERRED,ACCEPTABLE,ALWAYS,ACCEPTABLE,NEVER,ACCEPTABLE,UNPREFERRED,UNPREFERRED,NEVER
UNPREFERRED,UNPREFERRED,ACCEPTABLE,UNPREFERRED,ALWAYS,ALWAYS,NEVER,NEVER,NEVER,NEVER,NEVER,NEVER,UNPREFERRED,ACCEPTABLE,UNPREFERRED,UNPREFERRED
NEVER,UNPREFERRED,UNPREFERRED,ACCEPTABLE,ALWAYS,UNPREFERRED,NEVER,ACCEPTABLE,UNPREFERRED,ALWAYS,ACCEPTABLE,UNPREFERRED,UNPREFERRED,ALWAYS,UNPREFERRED,ALWAYS
NEVER,ACCEPTABLE,ACCEPTABLE,ALWAYS,NEVER,UNPREFERRED,ACCEPTABLE,ALWAYS,ALWAYS,ALWAYS,UNPREFERRED,ACCEPTABLE,ALWAYS,UNPREFERRED,ACCEPTABLE,ALWAYS
NEVER,UNPREFERRED,ALWAYS,NEVER,NEVER,ALWAYS,ACCEPTABLE,NEVER,UNPREFERRED,ACCEPTABLE,UNPREFERRED,UNPREFERRED,UNPREFERRED,ACCEPTABLE,ALWAYS,ACCEPTABLE
UNPREFERRED,UNPREFERRED,NEVER,ACCEPTABLE,ACCEPTABLE,ACCEPTABLE,ACCEPTABLE,UNPREFERRED,UNPREFERRED,NEVER,NEVER,UNPREFERRED,ALWAYS,ALWAYS,ACCEPTABLE,ACCEPTABLE
