ACCEPTABLE,ACCEPTABLE,ALWAYS,ACCEPTABLE,UNPREFERRED,ACCEPTABLE,ALWAYS,ALWAYS,ALWAYS,ALWAYS,NEVER,NEVER,ALWAYS,NEVER,NEVER,ALWAYS
NEVER,ALWAYS,UNPREFERRED,ALWAYS,ALWAYS,ALWAYS,UNPREFERRED,NEVER,UNPREFERRED,ALWAYS,UNPREFERRED,UNPREFERRED,ACCEPTABLE,NEVER,ALWAYS,ALWAYS
ACCEPTABLE,UNPREFERRED,UNPREFERRED,NEVER,NEVER,ALWAYS,ALWAYS,ACCEPTABLE,ALWAYS,UNPREFERRED,NEVER,NEVER,ACCEPTABLE,ALWAYS,UNPREFERRED,ACCEPTABLE
UNPREFERRED,NEVER,ACCEPTABLE,ACCEPTABLE,ALWAYS,NEVER,UNPREFERRED,ALWAYS,NEVER,NEVER,ALWAYS,NEVER,ALWAYS,ALWAYS,ALWAYS,ALWAYS
UNPREFERRED,ACCEPTABLE,ALWAYS,ALWAYS,UNPREFERRED,UNPREFERRED,ACCEPTABLE,ALWAYS,ACCEPTABLE,NEVER,NEVER,ALWAYS,ALWAYS,UNPREFERRED,NEVER,NEVER
ACCEPTABLE,UNPREFERRED,ALWAYS,NEVER,NEVER,UNPREFERRED,ACCEPTABLE,NEVER,UNPREFERRED,NEVER,ALWAYS,ALWAYS,ALWAYS,UNPREFERRED,UNPREFERRED,UNPREFERRED
NEVER,ALWAYS,ACCEPTABLE,NEVER,ACCEPTABLE,UNPREFERRED,UNPREFERRED,ACCEPTABLE,NEVER,NEVER,ALWAYS,NEVER,ALWAYS,NEVER,ALWAYS,NEVER
UNPREFERRED,UNPREFERRED,NEVER,NEVER,ACCEPTABLE,UNPREFERRED,ACCEPTABLE,NEVER,ALWAYS,ACCEPTABLE,ACCEPTABLE,UNPREFERRED,NEVER,UNPREFERRED,ALWAYS,NEVER
ACCEPTABLE,ACCEPTABLE,ALWAYS,ALWAYS,ACCEPTABLE,NEVER,ALWAYS,UNPREFERRED,NEVER,NEVER,NEVER,ACCEPTABLE,ACCEPTABLE,ACCEPTABLE,NEVER,UNPREFERRED
ACCEPTABLE,UNPREFERRED,NEVER,UNPREFERRED,ACCEPTABLE,UNPREFERRED,ALWAYS,UNPREFERRED,ALWAYS,UNPREFERRED,ACCEPTABLE,NEVER,ALWAYS,NEVER,ALWAYS,ACCEPTABLE
UNPREFERRED,ALWAYS,ALWAYS,NEVER,UNPREFERRED,ACCEPTABLE,ACCEPTABLE,UNPREFERRED,UNPREFERRED,ALWAYS,ACCEPTABLE,ALWAYS,ACCEPTABLE,ACCEPTABLE,NEVER,ALWAYS
UNPREFERRED,NEVER,ALWAYS,UNPREFERRED,ALWAYS,UNPREFERRED,UNPREFERRED,ALWAYS,NEVER,NEVER,NEVER,NEVER,ACCEPTABLE,ACCEPTABLE,NEVER,ACCEPTABLE
ALWAYS,UNPREFERRED,ACCEPTABLE,UNPREFERRED,ALWAYS,UNPREFERRED,ALWAYS,ACCEPTABLE,ACCEPTABLE,ACCEPTABLE,ALWAYS,ALWAYS,NEVER,ALWAYS,NEVER,NEVER
ACCEPTABLE,UNPREFERRED,ALWAYS,NEVER,ACCEPTABLE,ALWAYS,NEVER,ACCEPTABLE,NEVER,UNPREFERRED,NEVER,UNPREFERRED,ALWAYS,ACCEPTABLE,NEVER,ACCEPTABLE
ALWAYS,NEVER,ACCEPTABLE,ALWAYS,UNPREFERRED,UNPREFERRED,NEVER,ALWAYS,ACCEPTABLE,NEVER,UNPREFERRED,NEVER,NEVER,ALWAYS,ALWAYS,ACCEPTABLE
NEVER,NEVER,ALWAYS,UNPREFERRED,NEVER,UNPREFERRED,ALWAYS,NEVER,UNPREFERRED,UNPREFERRED,UNPREFERRED,NEVER,NEVER,ALWAYS,UNPREFERRED,ALWAYS
